?cls	?pred	?val	?synType
<https://w3id.org/pmd/TTO_0000000>	<http://www.w3.org/2000/01/rdf-schema#label>	"root node"@en	
<http://purl.obolibrary.org/obo/CHEBI_27573>	<http://www.w3.org/2000/01/rdf-schema#label>	"silicon atom"	
<https://w3id.org/pmd/co/PMD_0020202>	<http://www.w3.org/2000/01/rdf-schema#label>	"crack"@en	
<https://w3id.org/pmd/co/PMD_0000965>	<http://www.w3.org/2000/01/rdf-schema#label>	"surface layer (fiat object part)"@en	
<https://w3id.org/pmd/co/PMD_0020040>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of gold"@en	
<https://w3id.org/pmd/co/PMD_0050056>	<http://www.w3.org/2000/01/rdf-schema#label>	"Alumina (Al₂O₃)"@en	
<http://purl.obolibrary.org/obo/CHEBI_18291>	<http://www.w3.org/2000/01/rdf-schema#label>	"manganese atom"	
<https://w3id.org/pmd/co/PMD_0000503>	<http://www.w3.org/2000/01/rdf-schema#label>	"ASTM  Grainsize"@en	
<https://w3id.org/pmd/co/PMD_0000542>	<http://www.w3.org/2000/01/rdf-schema#label>	"cnc welding machine"@en	
<https://w3id.org/pmd/co/PMD_0000542>	<http://www.w3.org/2000/01/rdf-schema#label>	"CNC-Schweißmaschine"@de	
<http://purl.obolibrary.org/obo/BFO_0000019>	<http://www.w3.org/2000/01/rdf-schema#label>	"quality"@en	
<http://purl.obolibrary.org/obo/CHEBI_22977>	<http://www.w3.org/2000/01/rdf-schema#label>	"cadmium atom"	
<https://w3id.org/pmd/co/PMD_0000808>	<http://www.w3.org/2000/01/rdf-schema#label>	"joining by shaping"@en	
<https://w3id.org/pmd/co/PMD_0000808>	<http://www.w3.org/2000/01/rdf-schema#label>	"Fügen Durch Umformen"@de	
<https://w3id.org/pmd/co/PMD_0000957>	<http://www.w3.org/2000/01/rdf-schema#label>	"structural property analyzing process"@en	
<https://w3id.org/pmd/co/PMD_0000957>	<http://www.w3.org/2000/01/rdf-schema#label>	"Struktur Eigenschaften Analyseverfahren"@de	
<https://w3id.org/pmd/co/PMD_0020032>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of tungsten"@en	
<https://w3id.org/pmd/co/PMD_0050048>	<http://www.w3.org/2000/01/rdf-schema#label>	"kaolinite"@en	
<https://w3id.org/pmd/co/PMD_0000943>	<http://www.w3.org/2000/01/rdf-schema#label>	"Prüfling-Rolle"@de	
<https://w3id.org/pmd/co/PMD_0000943>	<http://www.w3.org/2000/01/rdf-schema#label>	"specimen role"@en	
<https://w3id.org/pmd/co/PMD_0050026>	<http://www.w3.org/2000/01/rdf-schema#label>	"phenolic resins"@en	
<https://w3id.org/pmd/co/PMD_0020067>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of magnesium"@en	
<http://purl.obolibrary.org/obo/CHEBI_33385>	<http://www.w3.org/2000/01/rdf-schema#label>	"thorium"	
<https://w3id.org/pmd/co/PMD_0000615>	<http://www.w3.org/2000/01/rdf-schema#label>	"drilling machine"@en	
<https://w3id.org/pmd/co/PMD_0000615>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bohrmaschine"@de	
<http://purl.obolibrary.org/obo/CHEBI_33377>	<http://www.w3.org/2000/01/rdf-schema#label>	"dysprosium atom"	
<https://w3id.org/pmd/co/PMD_0000893>	<http://www.w3.org/2000/01/rdf-schema#label>	"powder"@en	
<https://w3id.org/pmd/co/PMD_0000789>	<http://www.w3.org/2000/01/rdf-schema#label>	"indentation hardness"@en	
<https://w3id.org/pmd/co/PMD_0020053>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of zirconium"@en	
<https://w3id.org/pmd/co/PMD_0000973>	<http://www.w3.org/2000/01/rdf-schema#label>	"tensile testing machine"@en	
<https://w3id.org/pmd/co/PMD_0000973>	<http://www.w3.org/2000/01/rdf-schema#label>	"Zugprüfmaschine"@de	
<http://purl.obolibrary.org/obo/CHEBI_33363>	<http://www.w3.org/2000/01/rdf-schema#label>	"palladium"	
<https://w3id.org/pmd/co/PMD_0050012>	<http://www.w3.org/2000/01/rdf-schema#label>	"atactic polypropylene"@en	
<https://w3id.org/pmd/co/PMD_0000607>	<http://www.w3.org/2000/01/rdf-schema#label>	"differential thermal analysis process"@en	
<https://w3id.org/pmd/co/PMD_0000607>	<http://www.w3.org/2000/01/rdf-schema#label>	"Differenzthermoanalyse-Verfahren"@de	
<https://w3id.org/pmd/co/PMD_0000662>	<http://www.w3.org/2000/01/rdf-schema#label>	"glueing"@en	
<https://w3id.org/pmd/co/PMD_0000662>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kleben"@de	
<https://w3id.org/pmd/co/PMD_0020045>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of antimony"@en	
<https://w3id.org/pmd/co/PMD_0020083>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of hydrogen"@en	
<https://w3id.org/pmd/co/PMD_0050039>	<http://www.w3.org/2000/01/rdf-schema#label>	"polybutylene succinate"@en	
<http://purl.obolibrary.org/obo/CHEBI_33324>	<http://www.w3.org/2000/01/rdf-schema#label>	"strontium atom"	
<http://purl.obolibrary.org/obo/CHEBI_33393>	<http://www.w3.org/2000/01/rdf-schema#label>	"einsteinium atom"	
<https://w3id.org/pmd/co/PMD_0050047>	<http://www.w3.org/2000/01/rdf-schema#label>	"mullite"@en	
<https://w3id.org/pmd/co/PMD_0050025>	<http://www.w3.org/2000/01/rdf-schema#label>	"novolac epoxy"@en	
<https://w3id.org/pmd/co/PMD_0000986>	<http://www.w3.org/2000/01/rdf-schema#label>	"thermogravimetric analysis process"@en	
<https://w3id.org/pmd/co/PMD_0000986>	<http://www.w3.org/2000/01/rdf-schema#label>	"Thermogravimetrische Analyse-Verfahren"@de	
<https://w3id.org/pmd/co/PMD_0020061>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of krypton"@en	
<https://w3id.org/pmd/co/PMD_0050077>	<http://www.w3.org/2000/01/rdf-schema#label>	"zirconia matrix composites"@en	
<https://w3id.org/pmd/co/PMD_0000571>	<http://www.w3.org/2000/01/rdf-schema#label>	"coating from the ionized state"@en	
<https://w3id.org/pmd/co/PMD_0000571>	<http://www.w3.org/2000/01/rdf-schema#label>	"Beschichten Aus Dem Ionisierten Zustand"@de	
<https://w3id.org/pmd/co/PMD_0000972>	<http://www.w3.org/2000/01/rdf-schema#label>	"temporal property"@en	
<https://w3id.org/pmd/co/PMD_0050063>	<http://www.w3.org/2000/01/rdf-schema#label>	"Carbide Ceramics"@en	
<http://purl.obolibrary.org/obo/CHEBI_27594>	<http://www.w3.org/2000/01/rdf-schema#label>	"carbon atom"	
<http://purl.obolibrary.org/obo/CHEBI_27214>	<http://www.w3.org/2000/01/rdf-schema#label>	"uranium atom"	
<http://purl.obolibrary.org/obo/IAO_0000027>	<http://www.w3.org/2000/01/rdf-schema#label>	"data item"@en	
<https://w3id.org/pmd/co/PMD_0000606>	<http://www.w3.org/2000/01/rdf-schema#label>	"differential scanning calorimetry process"@en	
<https://w3id.org/pmd/co/PMD_0000606>	<http://www.w3.org/2000/01/rdf-schema#label>	"Dynamische Differenzkalorimetrie-Verfahren"@de	
<https://w3id.org/pmd/co/PMD_0050017>	<http://www.w3.org/2000/01/rdf-schema#label>	"general purpose polystyrene"@en	
<http://purl.obolibrary.org/obo/CHEBI_27363>	<http://www.w3.org/2000/01/rdf-schema#label>	"zinc atom"	
<https://w3id.org/pmd/co/PMD_0000556>	<http://www.w3.org/2000/01/rdf-schema#label>	"chromatography process"@en	
<https://w3id.org/pmd/co/PMD_0000556>	<http://www.w3.org/2000/01/rdf-schema#label>	"Chromatographieverfahren"@de	
<https://w3id.org/pmd/co/PMD_0000787>	<http://www.w3.org/2000/01/rdf-schema#label>	"image"@en	
<https://w3id.org/pmd/co/PMD_0000636>	<http://www.w3.org/2000/01/rdf-schema#label>	"extensometer"@en	
<https://w3id.org/pmd/co/PMD_0000867>	<http://www.w3.org/2000/01/rdf-schema#label>	"nanoindentation process"@en	
<https://w3id.org/pmd/co/PMD_0000867>	<http://www.w3.org/2000/01/rdf-schema#label>	"Nanoindentationsverfahren"@de	
<https://w3id.org/pmd/co/PMD_0000853>	<http://www.w3.org/2000/01/rdf-schema#label>	"metallographic texture"@en	
<https://w3id.org/pmd/co/PMD_0050109>	<http://www.w3.org/2000/01/rdf-schema#label>	"lead glass"@en	
<https://w3id.org/pmd/co/PMD_0050060>	<http://www.w3.org/2000/01/rdf-schema#label>	"Titania (TiO₂)"@en	
<https://w3id.org/pmd/co/PMD_0020082>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of neodymium"@en	
<https://w3id.org/pmd/co/PMD_0001011>	<http://www.w3.org/2000/01/rdf-schema#label>	"welding device"@en	
<https://w3id.org/pmd/co/PMD_0001011>	<http://www.w3.org/2000/01/rdf-schema#label>	"Schweißgerät"@de	
<https://w3id.org/pmd/co/PMD_0000509>	<http://www.w3.org/2000/01/rdf-schema#label>	"adhesion testing process"@en	
<https://w3id.org/pmd/co/PMD_0000509>	<http://www.w3.org/2000/01/rdf-schema#label>	"Adhäsionsprüfverfahren"@de	
