Level	Rule Name	Subject	Property	Value
ERROR	multiple_labels	Förderungsrolle	rdfs:label	Förderungsrolle@de
ERROR	multiple_labels	Förderungsrolle	rdfs:label	funder role@en
ERROR	multiple_labels	Höchstkraft der Kraftmessdose	rdfs:label	Höchstkraft der Kraftmessdose@de
ERROR	multiple_labels	Höchstkraft der Kraftmessdose	rdfs:label	load cell maximum force@en
ERROR	multiple_labels	Diameter	rdfs:label	Diameter@en
ERROR	multiple_labels	Diameter	rdfs:label	Durchmesser@de
ERROR	multiple_labels	Verlängerung	rdfs:label	Elongation@en
ERROR	multiple_labels	Verlängerung	rdfs:label	Verlängerung@de
ERROR	multiple_labels	Extension	rdfs:label	Extension@en
ERROR	multiple_labels	Extension	rdfs:label	Verlängerung (der Extensometer-Messlänge)@de
ERROR	multiple_labels	Thickness	rdfs:label	Dicke@de
ERROR	multiple_labels	Thickness	rdfs:label	Thickness@en
ERROR	multiple_labels	Area	rdfs:label	Area@en
ERROR	multiple_labels	Area	rdfs:label	Fläche@de
ERROR	multiple_labels	Form	rdfs:label	Form@de
ERROR	multiple_labels	Form	rdfs:label	Shape@en
ERROR	multiple_labels	Streckgrenze	rdfs:label	Streckgrenze@de
ERROR	multiple_labels	Streckgrenze	rdfs:label	Yield Strength@en
ERROR	multiple_labels	Width	rdfs:label	Breite@de
ERROR	multiple_labels	Width	rdfs:label	Width@en
ERROR	multiple_labels	Änderung der transversalen Dimension	rdfs:label	Change Of Transverse Dimension@en
ERROR	multiple_labels	Änderung der transversalen Dimension	rdfs:label	Änderung der transversalen Dimension@de
ERROR	multiple_labels	Querschnittsfläche	rdfs:label	Cross Section Area@en
ERROR	multiple_labels	Querschnittsfläche	rdfs:label	Querschnittsfläche@de
ERROR	multiple_labels	Crosshead Separation	rdfs:label	Crosshead Separation@en
ERROR	multiple_labels	Crosshead Separation	rdfs:label	Querhaupttrennung@de
ERROR	multiple_labels	Crosshead Separation Rate	rdfs:label	Crosshead Separation Rate@en
ERROR	multiple_labels	Crosshead Separation Rate	rdfs:label	Traversengeschwindigkeit@de
ERROR	multiple_labels	End-Probendurchmesser	rdfs:label	Diameter After Fracture@en
ERROR	multiple_labels	End-Probendurchmesser	rdfs:label	End-Probendurchmesser@de
ERROR	multiple_labels	Abgeschätzte Dehngeschwindigkeit Über Die Parallele Länge	rdfs:label	Abgeschätzte Dehngeschwindigkeit Über Die Parallele Länge@de
ERROR	multiple_labels	Abgeschätzte Dehngeschwindigkeit Über Die Parallele Länge	rdfs:label	Estimated Strain Rate Over The Parallel Length@en
ERROR	multiple_labels	Extensometer-Messlänge	rdfs:label	Extensometer Gauge Length@en
ERROR	multiple_labels	Extensometer-Messlänge	rdfs:label	Extensometer-Messlänge@de
ERROR	multiple_labels	Final Gauge Length After Fracture	rdfs:label	Final Gauge Length After Fracture@en
ERROR	multiple_labels	Final Gauge Length After Fracture	rdfs:label	Messlänge nach dem Bruch@de
